step,reward,acc,fmt,len,clipped,mem,step_time,lr,ppl_abs_diff,ess,is_weight,clipped_frac,r_std,zero_std,grad,tr_ppl,ro_ppl
1,0.5226,0.3259,0.9911,847.7,0,143.6,57.36,1e-05,0.05466,0.9891,0.9964,0.00135,0.3917,0,0.005249,1.682,1.588
2,0.447,0.2545,0.9821,1026,0.01339,143.7,35.35,1e-05,0.06166,0.9884,0.9951,0.001538,0.3569,0,0.008099,1.736,1.629
3,0.4616,0.2634,0.9955,764.3,0.004464,143.7,43.25,1e-05,0.07093,0.986,0.9932,0.002557,0.3718,0,0.005495,1.712,1.585
4,0.4223,0.2277,0.9866,990.5,0.01339,143.7,49.69,1e-05,0.05809,0.9862,0.9955,0.002214,0.3874,0,0.007236,1.821,1.715
5,0.5447,0.3527,0.9821,926.6,0.01786,143.7,66.7,1e-05,0.06616,0.9807,0.994,0.004123,0.4057,0,0.006265,1.954,1.813
6,0.4335,0.2545,0.9509,1485,0.04464,143.8,39.7,1e-05,0.05121,0.9897,0.9961,0.001411,0.3782,0,0.006276,1.75,1.662
7,0.4377,0.2545,0.9576,1360,0.03571,143.8,88.09,1e-05,0.05125,0.9893,0.9961,0.001594,0.3901,0,0.007689,1.677,1.59
8,0.5245,0.3304,0.9911,1100,0.008929,143.9,65.24,1e-05,0.05323,0.9895,0.9967,0.001524,0.4042,0,0.006061,1.592,1.51
9,0.5481,0.3661,0.9576,1246,0.04018,143.9,52.06,1e-05,0.05254,0.988,0.996,0.001957,0.4053,0,0.008963,1.582,1.5
10,0.508,0.317,0.9821,932.8,0.01786,143.9,61.22,1e-05,0.06766,0.9854,0.9952,0.002091,0.4139,0,0.004823,1.84,1.719
11,0.5984,0.4062,0.9821,989.7,0.01786,143.9,60.44,1e-05,0.06741,0.9839,0.9943,0.003203,0.393,0,0.005766,1.963,1.817
12,0.5569,0.3661,0.9844,1108,0.01786,143.9,41.16,1e-05,0.04841,0.9894,0.9968,0.001687,0.4161,0,0.006534,1.607,1.531
13,0.5252,0.3348,0.9777,1015,0.02232,143.9,57.86,1e-05,0.05836,0.9861,0.9933,0.002566,0.3926,0,0.005049,1.69,1.589
14,0.6702,0.4732,0.9911,762.8,0.004464,143.9,52.57,1e-05,0.05903,0.9898,0.9961,0.001353,0.436,0,0.004083,1.604,1.511
15,0.5509,0.3795,0.9286,1343,0.07143,143.9,68.35,1e-05,0.07538,0.9871,0.9952,0.001981,0.3952,0,0.005617,1.707,1.576
16,0.5546,0.3571,0.9933,715.3,0.004464,143.9,43.31,1e-05,0.06241,0.9847,0.9927,0.002374,0.4188,0,0.004249,1.864,1.746
